5888	624	3232	-320	2656	944	4555.151515	71.5	4555.151515	225.5	4621.084957	258.4414827	623927.7576	63669.41935	789.8909783	252.3279995	1.014474478	1.146081963	0.2873783997	1.826332193	0.5830761043	4.186252772	0.587336459	4.555767563	1.947265443	2.108817407	0.2444987758	0.06918363057	347632344.6	83094.34921	1
5888	752	3376	-2192	2512	2944	4960.969697	-8.5	4960.969697	304.5	4996.489046	490.8849152	364735.0303	248666.5806	603.9329684	498.6647979	1.007159759	1.612101528	0.2513765143	2.998666193	0.5063526192	9.668308703	0.508254535	12.80251304	2.863640567	12.65247998	-0.459623967	-2.643903369	412332599.1	1174.349206	1
5984	944	3952	-1392	2032	2336	5010.424242	18	5010.424242	305	5036.584124	417.0755327	271041.9394	179228.9032	520.6168835	423.3543471	1.005221091	1.367460763	0.2017240207	2.800451977	0.4055544804	7.659016393	0.4066220708	9.293397146	2.148808795	5.488785308	0.06570553742	-0.942773137	420594435.9	5266.285714	1
5984	944	3952	-592	2032	1536	5038.545455	4	5038.545455	263	5067.41634	328.3412859	300885.8182	111269.1613	548.5305991	333.5703244	1.005730004	1.248445954	0.2004966499	2.339029641	0.4032909931	5.840304183	0.4044768466	6.696964257	2.09471504	3.42255938	-0.2465343399	0.6848428041	425328892.1	260.0634921	1
6080	496	3888	-592	2192	1088	5000.242424	-1	5000.242424	269	5030.141007	314.8332892	309265.9394	102316.3871	556.1168397	319.8693282	1.005979427	1.170383975	0.2178865361	1.727898601	0.4383787453	4.044609665	0.4397321694	4.626682973	2.339569092	1.965884421	-0.3265608182	-0.1233284064	418886770.2	16.25396825	1
6272	624	3856	-848	2416	1472	5087.030303	-5	5087.030303	318	5118.869572	372.6875367	335103.0303	143350.7097	578.8808429	378.6168376	1.006258911	1.171973386	0.2359896034	1.974844682	0.4749332825	4.628930818	0.4764450003	5.148958549	2.717313627	2.247961462	-0.009222943439	-0.2981896353	433553975.1	406.3492063	1
6272	624	3856	-720	2416	1344	5178.181818	44	5178.181818	266	5207.892565	321.8943926	318221.0909	104960	564.1108853	323.9753077	1.005737679	1.210129296	0.2319556298	2.087641212	0.4665730337	5.052631579	0.4679509793	5.809112851	2.928156712	2.45858326	-0.2392329368	-0.2639784669	449230375.4	31467.68254	1
6192	608	3760	-1424	2432	2032	5188.848485	-2.5	5188.848485	244.5	5219.098541	349.5482799	324679.7576	126118.9677	569.8067721	355.1323243	1.005829821	1.429645317	0.2329904275	2.906608495	0.4686974397	8.310838446	0.470126676	9.997124022	3.479322698	9.140690408	-0.4856960778	-1.905970134	451083043.4	101.5873016	1
6192	496	3152	-1952	3040	2448	4940.606061	-35	4940.606061	249	4989.93275	416.0961427	505148.1212	177456.5161	710.7377303	421.2558796	1.009983935	1.671068846	0.3046133237	2.941627846	0.6153091266	9.831325301	0.6186552436	12.74639639	3.536729379	14.5398954	-0.7476586046	-2.999824359	408954486.2	19911.11111	1
5360	496	3152	-1952	2208	2448	4699.636364	-14	4699.636364	265	4729.900249	427.4014506	294292.3636	188362.3226	542.4872014	434.007284	1.006439623	1.612835663	0.2334087279	2.863818076	0.469823584	9.237735849	0.4715022385	11.87196742	4.282946311	13.557152	-1.434934075	-2.826652681	370035196.1	3185.777778	1
