最大值,最小值,极差,均值,整流均值,均方根,能量对数,方差,标准差,峭度,偏度,裕度,波形特征,峰值因子1,峰值因子2,差分-最大值,差分-最小值,差分-极差,差分-均值,差分-整流均值,差分-均方根,差分-能量对数,差分-方差,差分-标准差,差分-峭度,差分-偏度,差分-裕度,差分-波形特征,差分-峰值因子1,差分-峰值因子2,LL能量,LH能量,HL能量,HH能量,信息熵,信息量,奇异值0,奇异值1,奇异值2,奇异值3,lable
-0.959785,-1.40954,0.449755,-1.223231,1.223231,1.230548,-2.139661,0.017954,0.136069,1.043871,0.614252,-0.787091,1.005982,-0.779966,-0.784631,0.11128,-0.115916,0.227196,-0.001304,0.037528,0.047941,-11.199709,0.002297,0.04869,3.206627,-1.4038,3.48112,1.277474,2.321191,2.965262,54.017566,0.011382,0.003841,0.007848,0.006019,53.994509,7.349668,0.10644,0.088589,0.061949,0
-0.964422,-1.40954,0.445118,-1.232363,1.232363,1.239206,-2.399323,0.016912,0.132062,1.040379,0.725739,-0.784865,1.005552,-0.778258,-0.782579,0.125189,-0.115916,0.241105,0.001594,0.035789,0.047547,-11.273085,0.002258,0.04828,3.659333,-0.959893,4.307539,1.328525,2.632967,3.497962,56.322983,0.011134,0.005186,0.006725,0.005811,56.299951,7.504865,0.105527,0.082447,0.071333,0
-0.950512,-1.400266,0.449754,-1.222388,1.222388,1.229333,-2.369295,0.017029,0.132519,1.041348,0.707276,-0.77991,1.005682,-0.773193,-0.777586,0.115916,-0.115916,0.231832,0.000724,0.037818,0.05032,-10.77669,0.002532,0.05112,3.257578,0.945592,3.883199,1.330598,2.303573,3.065129,54.51241,0.007038,0.001661,0.014729,0.005945,54.488998,7.383253,0.121358,0.08383,0.040716,0
-0.885599,-1.330717,0.445118,-1.138085,1.138085,1.14599,-2.115267,0.018055,0.136452,1.052531,0.289348,-0.780937,1.006946,-0.772781,-0.778148,0.115916,-0.083459,0.199375,0.00623,0.039556,0.049104,-11.058813,0.002372,0.049486,2.607211,3.291153,3.484971,1.241363,2.360634,2.930405,45.611191,0.006796,0.003548,0.010999,0.006526,45.589862,6.753608,0.104899,0.082341,0.059393,0
-0.751136,-1.390993,0.639857,-0.959645,0.959645,0.980851,1.462473,0.04115,0.206,1.196455,-0.872851,-0.79096,1.022098,-0.765801,-0.782723,0.09737,-0.598127,0.695497,-0.001884,0.047961,0.112746,-3.76981,0.012708,0.114534,24.797984,-45.58751,3.218876,2.350806,0.863623,2.03021,37.154504,0.094777,0.034353,0.033231,0.046467,36.993151,6.095519,0.306626,0.189119,0.178122,0
-0.751136,-1.390993,0.639857,-1.111951,1.111951,1.131335,1.702021,0.043483,0.21176,1.121712,0.425758,-0.681868,1.017432,-0.663938,-0.675512,0.102006,-0.598127,0.700133,-0.015938,0.05506,0.114891,-3.689255,0.012946,0.115601,23.014606,-40.776769,2.603182,2.086654,0.887846,1.852628,47.077301,0.10708,0.032987,0.021684,0.037256,46.91638,6.861291,0.327222,0.181633,0.147241,0
-0.959785,-1.390993,0.431208,-1.220561,1.220561,1.227868,-2.154958,0.017891,0.13583,1.04395,0.599493,-0.78881,1.005987,-0.781668,-0.786347,0.12519,-0.092733,0.217923,-0.001449,0.037383,0.047976,-11.194126,0.0023,0.048721,3.255023,5.856474,4.123027,1.283362,2.609438,3.348854,52.855025,0.003922,0.007903,0.004895,0.004614,52.838313,7.270147,0.08892,0.069956,0.06254,0
-0.969058,-1.386356,0.417298,-1.230256,1.230256,1.23715,-2.373995,0.017011,0.132447,1.040806,0.705904,-0.790007,1.005604,-0.783299,-0.787688,0.12519,-0.129826,0.255016,0.001304,0.036948,0.049499,-10.921687,0.002448,0.050274,3.905741,0.78358,4.270235,1.339685,2.529137,3.388247,55.627363,0.012873,0.003152,0.009633,0.006421,55.601722,7.458376,0.113457,0.098145,0.056112,0
-0.959785,-1.386356,0.426571,-1.227165,1.227165,1.233675,-2.634469,0.01602,0.128534,1.038635,0.734929,-0.784296,1.005305,-0.777988,-0.782116,0.078823,-0.129826,0.208649,-0.000724,0.038687,0.046562,-11.451095,0.002167,0.047301,3.053645,-4.391055,2.280767,1.203546,1.692873,2.03745,55.420189,0.005375,0.002263,0.008215,0.004185,55.404342,7.444475,0.090654,0.073204,0.047557,0
-0.973695,-1.386356,0.412661,-1.210585,1.210585,1.2181,-2.068427,0.018251,0.13719,1.045892,0.519893,-0.806919,1.006207,-0.799356,-0.804317,0.115916,-0.083459,0.199375,0,0.035934,0.045666,-11.618845,0.002085,0.046396,3.018911,2.327805,3.852642,1.270819,2.538369,3.225808,51.930003,0.008519,0.005127,0.005773,0.005374,51.910593,7.206249,0.09223,0.076011,0.071555,0
-0.973695,-1.404903,0.431208,-1.22576,1.22576,1.232647,-2.394619,0.01693,0.132133,1.041277,0.626833,-0.796696,1.005618,-0.789922,-0.79436,0.115916,-0.088096,0.204012,0.000435,0.036369,0.046935,-11.380994,0.002203,0.047684,3.211662,3.421965,3.870458,1.290542,2.469697,3.187247,54.859621,0.015158,0.005179,0.004866,0.006383,54.834435,7.406729,0.123063,0.071945,0.069736,0
-1.001515,-1.404903,0.403388,-1.230256,1.230256,1.23641,-2.868476,0.01518,0.125118,1.037145,0.580466,-0.81619,1.005002,-0.810018,-0.81407,0.09737,-0.08346,0.18083,-0.000145,0.032312,0.041738,-12.400063,0.001742,0.042405,2.863376,3.327232,3.80979,1.291729,2.332893,3.013467,55.587253,0.005725,0.001355,0.006323,0.003575,55.573855,7.455686,0.079515,0.075622,0.036789,0
-0.816049,-1.307533,0.491484,-1.106612,1.106612,1.119798,-0.004252,0.029356,0.173992,1.086884,0.344331,-0.742046,1.011915,-0.728747,-0.73743,0.088097,-0.064913,0.15301,0.009128,0.032022,0.039742,-13.060909,0.001496,0.039299,2.724185,2.301648,3.240145,1.241108,2.216698,2.751161,43.418742,0.00562,0.000722,0.008688,0.004892,43.403719,6.589292,0.093209,0.074834,0.02686,0
-0.741863,-1.390993,0.64913,-1.008821,1.008821,1.036583,2.861089,0.056785,0.24199,1.225351,-0.500104,-0.745373,1.027519,-0.715681,-0.735376,0.064913,-0.612037,0.67695,-0.006375,0.047236,0.113296,-3.740118,0.012795,0.114926,26.629918,-47.583835,2.035289,2.398511,0.572952,1.374231,39.393984,0.111779,0.016789,0.02838,0.041892,39.238002,6.276463,0.334332,0.168452,0.129567,0
-0.969058,-1.390993,0.421935,-1.223793,1.223793,1.230659,-2.414677,0.016852,0.131828,1.041107,0.650488,-0.794176,1.00561,-0.78743,-0.791848,0.088096,-0.06955,0.157646,0.000869,0.036224,0.042353,-12.274751,0.001793,0.043022,1.966639,1.675772,2.82476,1.169203,2.080038,2.431987,55.492784,0.004356,0.002808,0.00708,0.003812,55.478544,7.449348,0.084156,0.065984,0.052971,0
-0.969058,-1.390993,0.421935,-1.2148,1.2148,1.221372,-2.637172,0.016011,0.128494,1.039713,0.649704,-0.799968,1.00541,-0.793417,-0.79771,0.106642,-0.078823,0.185465,-0.000145,0.033471,0.043903,-11.960786,0.001927,0.044605,3.032726,5.812433,4.096676,1.311678,2.429038,3.186116,53.898672,0.004461,0.002038,0.009438,0.004288,53.882743,7.341572,0.097154,0.066695,0.045126,0
-0.969058,-1.377083,0.408025,-1.207073,1.207073,1.213663,-2.652865,0.015953,0.128263,1.040575,0.531461,-0.805096,1.00546,-0.798457,-0.802817,0.120553,-0.088096,0.208649,0.000145,0.037528,0.045644,-11.623057,0.002083,0.046374,2.872532,2.79445,3.795737,1.21626,2.641179,3.212361,51.829652,0.014253,0.001929,0.006522,0.00606,51.806964,7.199282,0.119369,0.080847,0.043733,0
-0.945875,-1.38172,0.435845,-1.206932,1.206932,1.213926,-2.394394,0.016931,0.132137,1.042294,0.670937,-0.786087,1.005795,-0.779187,-0.783702,0.120553,-0.102006,0.222559,-0.001449,0.038832,0.047171,-11.341232,0.002223,0.047903,2.917175,1.964291,3.569246,1.214746,2.555664,3.104483,54.057362,0.014032,0.000921,0.008316,0.005929,54.034107,7.352373,0.118424,0.091146,0.030195,0
-0.941239,-1.38172,0.440481,-1.19232,1.19232,1.199697,-2.214805,0.017646,0.134897,1.045239,0.62418,-0.791982,1.006187,-0.784564,-0.789418,0.069549,-0.102006,0.171555,0.002173,0.037238,0.043565,-12.038682,0.001893,0.044207,2.221793,-3.272978,2.074287,1.169905,1.596441,1.867684,51.963624,0.00992,0.001559,0.00528,0.004621,51.946874,7.20858,0.099575,0.072663,0.039441,0
-0.941239,-1.372446,0.431207,-1.182906,1.182906,1.190968,-1.862436,0.019137,0.140482,1.050746,0.4256,-0.79852,1.006815,-0.790314,-0.795701,0.106643,-0.064913,0.171556,-0.002318,0.031877,0.041276,-12.510283,0.001698,0.041871,3.642793,9.097624,3.979727,1.29487,2.583626,3.345459,49.771998,0.004236,0.002531,0.005879,0.003783,49.759356,7.054928,0.076709,0.064953,0.050256,0
-0.978332,-1.386356,0.408024,-1.231661,1.231661,1.238362,-2.492644,0.016552,0.13065,1.039826,0.675465,-0.796585,1.005441,-0.790021,-0.794319,0.106643,-0.083459,0.190102,0.001159,0.033616,0.044094,-11.926079,0.001943,0.044784,3.376715,4.497326,3.823115,1.311703,2.418551,3.172421,55.912732,0.006905,0.003154,0.007536,0.004585,55.895145,7.477482,0.086825,0.083093,0.0561,0
-0.978332,-1.386356,0.408024,-1.232364,1.232364,1.238977,-2.54771,0.016344,0.129825,1.039319,0.67161,-0.796098,1.005366,-0.789629,-0.793866,0.078823,-0.078823,0.157646,-0.001884,0.031152,0.039232,-12.947817,0.001536,0.039814,2.406994,1.116593,3.178385,1.259358,2.009147,2.530235,55.950857,0.006031,0.000775,0.00575,0.003329,55.938305,7.480031,0.077787,0.075645,0.02783,0
-0.931965,-1.363173,0.431208,-1.203701,1.203701,1.211508,-1.926723,0.018856,0.139446,1.046717,0.722777,-0.776903,1.006486,-0.76926,-0.77425,0.074186,-0.078823,0.153009,0.001159,0.038832,0.043742,-11.995687,0.001912,0.044426,1.801344,0.186661,2.099602,1.126444,1.695988,1.910436,51.465838,0.008616,0.003284,0.005491,0.004883,51.448454,7.17397,0.092788,0.074087,0.057293,0
-0.931965,-1.386356,0.454391,-1.196114,1.196114,1.203632,-2.118282,0.018042,0.136405,1.046093,0.593257,-0.781729,1.006286,-0.774294,-0.779161,0.074186,-0.097369,0.171555,-0.000724,0.038977,0.044662,-11.813088,0.001994,0.04537,2.123801,-0.022889,2.069519,1.14585,1.661072,1.903338,52.72264,0.012453,0.002197,0.008857,0.006199,52.699148,7.261037,0.1115,0.094108,0.046874,0
-0.964422,-1.386356,0.421934,-1.215784,1.215784,1.221834,-2.99439,0.014746,0.123317,1.036817,0.6177,-0.795309,1.004976,-0.789324,-0.793251,0.11128,-0.097369,0.208649,0.000869,0.039701,0.047,-11.370213,0.002208,0.047744,2.517382,1.2534,3.11341,1.183833,2.367678,2.802934,53.772297,0.008565,0.002937,0.008728,0.005367,53.752078,7.33296,0.096079,0.089859,0.054064,0
-0.969058,-1.404903,0.435845,-1.213536,1.213536,1.220277,-2.530947,0.016407,0.130076,1.041415,0.499261,-0.800845,1.005555,-0.794129,-0.798541,0.11128,-0.194739,0.306019,0,0.040281,0.055325,-9.952201,0.003061,0.05621,5.851669,-10.934254,3.555919,1.373479,2.01139,2.762601,53.143238,0.014337,0.007078,0.00888,0.007828,53.112966,7.289942,0.119707,0.094218,0.084117,0
-0.969058,-1.38172,0.412662,-1.204965,1.204965,1.211311,-2.824683,0.015334,0.12575,1.039401,0.487255,-0.806417,1.005267,-0.800007,-0.804221,0.11128,-0.083459,0.194739,0.003478,0.036224,0.047085,-11.376645,0.002205,0.047708,3.015201,4.735052,3.83015,1.299845,2.363365,3.072007,52.134841,0.008287,0.001071,0.009462,0.0051,52.11603,7.220447,0.097868,0.090474,0.032236,0
-0.955149,-1.38172,0.426571,-1.212271,1.212271,1.219601,-2.170779,0.017826,0.135583,1.044368,0.602049,-0.790395,1.006046,-0.783165,-0.7879,0.09737,-0.08346,0.18083,-0.000145,0.03434,0.042234,-12.297456,0.001784,0.042909,2.753991,2.501736,3.297507,1.229869,2.305497,2.835459,54.5356,0.00363,0.004986,0.005887,0.003955,54.521102,7.384823,0.076826,0.070478,0.060198,0
-0.959785,-1.38172,0.421935,-1.205246,1.205246,1.211739,-2.724299,0.015693,0.127212,1.039408,0.688255,-0.79859,1.005387,-0.792072,-0.796339,0.106643,-0.08346,0.190103,-0.00029,0.035065,0.042432,-12.256886,0.0018,0.04311,2.778765,2.041483,3.484217,1.210117,2.51325,3.041327,53.263288,0.004643,0.001664,0.008676,0.004098,53.248311,7.29817,0.093146,0.068132,0.040785,0
-0.959785,-1.3539,0.394115,-1.187683,1.187683,1.194859,-2.351946,0.017097,0.132784,1.044848,0.498103,-0.810655,1.006042,-0.803262,-0.808115,0.074187,-0.08346,0.157647,-0.000724,0.040426,0.047476,-11.282131,0.002253,0.04823,1.889825,1.47676,2.117345,1.174404,1.562618,1.835145,49.962069,0.005418,0.003304,0.008476,0.004966,49.94488,7.068386,0.092076,0.073553,0.057471,0
